Label,Channel,Frequency_Band,Mean_PSD,Variance_PSD
1,FC3,4-6Hz,-54.576025126366275,7.580901168018538
1,FC3,6-8Hz,-55.70640111001458,7.308808914589786
1,FC3,8-10Hz,-54.904120245050095,7.881428026626195
1,FC3,10-12Hz,-56.27200230114129,8.368424011025896
1,FC3,12-14Hz,-59.229255109924694,6.290857313658288
1,FC3,14-16Hz,-61.47041536194012,3.0054188122636205
1,FC3,16-18Hz,-61.92441829195035,4.732131182314844
1,FC3,18-20Hz,-61.11694178667472,3.887408766382179
1,FC3,20-22Hz,-60.975882710254936,3.622535478135506
1,FC3,22-24Hz,-61.55690545023487,3.584275171569602
1,FC3,24-26Hz,-62.183183447947115,4.77641842844986
1,FC3,26-28Hz,-62.81478504604852,4.394960643300548
1,FC3,28-30Hz,-63.219591810290055,5.289533053945829
1,FC3,30-32Hz,-64.43130275860396,4.442961899658533
1,FC3,32-34Hz,-65.529752403074,2.6922553907090423
1,FC3,34-36Hz,-66.68107678655976,2.274477139059377
1,FCz,4-6Hz,-56.094102634232954,3.625165964097585
1,FCz,6-8Hz,-57.29134526820257,5.266172983736325
1,FCz,8-10Hz,-57.48994245639114,9.211932709009146
1,FCz,10-12Hz,-59.66673135920153,7.0632795338311185
1,FCz,12-14Hz,-61.26186968384867,5.70006830491974
1,FCz,14-16Hz,-63.23054598904151,3.497765264368359
1,FCz,16-18Hz,-63.394480852209696,4.352800052450623
1,FCz,18-20Hz,-63.272140953065886,2.983101947644849
1,FCz,20-22Hz,-64.75340228954083,2.8007913923898706
1,FCz,22-24Hz,-65.64771108460174,4.2520767115954685
1,FCz,24-26Hz,-65.52454775299914,2.83323612300093
1,FCz,26-28Hz,-66.6090390966476,3.7775426648170427
1,FCz,28-30Hz,-67.10437474836985,4.000718339811074
1,FCz,30-32Hz,-67.631595851147,2.778846150331975
1,FCz,32-34Hz,-68.74815529237823,3.4941082047424685
1,FCz,34-36Hz,-70.03376702425658,2.694955493637261
1,FC4,4-6Hz,-56.331587108011654,3.1598829476441477
1,FC4,6-8Hz,-56.45234250077727,5.101387599826156
1,FC4,8-10Hz,-54.27082734939152,9.262753741409623
1,FC4,10-12Hz,-54.67990628049325,7.199753906745473
1,FC4,12-14Hz,-57.155547963826656,6.413087613469835
1,FC4,14-16Hz,-59.8642058677705,2.1979218765226403
1,FC4,16-18Hz,-59.82364417197265,4.083607864192602
1,FC4,18-20Hz,-59.65835331122782,3.8274107236369987
1,FC4,20-22Hz,-60.10391605416901,7.226168398098952
1,FC4,22-24Hz,-60.18188845236696,7.084837166906538
1,FC4,24-26Hz,-59.60604476234812,8.005533835007045
1,FC4,26-28Hz,-60.385999172344526,10.397162436355993
1,FC4,28-30Hz,-61.48817652543326,16.761749942942618
1,FC4,30-32Hz,-62.32341805242858,13.18978100560958
1,FC4,32-34Hz,-63.398546399745065,15.959419126046312
1,FC4,34-36Hz,-64.03832574132595,16.42802021999011
1,C3,4-6Hz,-57.88833850982903,19.70077184562869
1,C3,6-8Hz,-59.13018173236658,17.525732270899802
1,C3,8-10Hz,-59.66103079064966,15.363187385191452
1,C3,10-12Hz,-59.29965356293875,19.006674819096236
1,C3,12-14Hz,-60.59303701483854,14.628410894717435
1,C3,14-16Hz,-63.90906934310893,7.626055322287068
1,C3,16-18Hz,-63.975016982957186,9.533322737682473
1,C3,18-20Hz,-63.445552589570816,10.28465502500352
